actorId,filmTitle,filmYear,genres,averageRating,numVotes
nm0154183,The Lady of Scandal,1930,"Comedy,Drama,Romance",5.9,194
nm0001651,The Lady of Scandal,1930,"Comedy,Drama,Romance",5.9,194
nm0601254,A Lady's Morals,1930,"Drama,Musical",5.3,109
nm0000891,A Lady's Morals,1930,"Drama,Musical",5.3,109
nm0001932,The Lash,1930,Western,5.4,159
nm0000802,The Lash,1930,Western,5.4,159
nm0545298,Laughter,1930,"Comedy,Romance",6.3,355
nm0002050,Leathernecking,1930,"Comedy,Musical,Romance",6.7,43
nm0790454,Let Us Be Gay,1930,"Comedy,Drama",6.3,538
nm0237597,Let Us Be Gay,1930,"Comedy,Drama",6.3,538
nm0642988,Let's Go Native,1930,"Comedy,Musical,Romance",5.9,146
nm0417837,Liebling der Götter,1930,Comedy,6.4,41
nm0237571,Lightnin',1930,"Adventure,Comedy,Romance",6.3,51
nm0341464,Lilies of the Field,1930,"Drama,Romance",5.8,80
nm0949835,Loose Ankles,1930,"Comedy,Romance",6.0,431
nm0599910,Love in the Rough,1930,"Comedy,Musical,Romance",5.4,205
nm0228715,Lovin' the Ladies,1930,"Comedy,Romance",6.3,143
nm0000731,Madame Guillotine,1931,"History,Romance",5.6,9
nm0237571,Mammy,1930,Comedy,6.0,212
nm0000011,A Man from Wyoming,1930,"Action,Drama,Romance",6.5,79
nm0949835,The Man from Blankley's,1930,Comedy,6.6,86
nm0001055,Manslaughter,1930,"Drama,Romance",6.5,240
nm0545298,Manslaughter,1930,"Drama,Romance",6.5,240
nm0173993,Midnight Mystery,1930,Mystery,6.9,106
nm0051628,The Mighty,1929,"Action,Drama",6.7,61
nm0237597,Min and Bill,1930,"Comedy,Drama",6.8,1760
nm0000891,Min and Bill,1930,"Comedy,Drama",6.8,1760
nm0708081,Min and Bill,1930,"Comedy,Drama",6.8,1760
nm0001076,Montana Moon,1930,Western,4.8,579
nm0000011,Morocco,1930,"Drama,Romance",7.0,6767
nm0000017,Morocco,1930,"Drama,Romance",7.0,6767
nm0579663,Morocco,1930,"Drama,Romance",7.0,6767
nm0862546,New Moon,1930,"Drama,Musical,Romance",6.0,180
nm0601254,New Moon,1930,"Drama,Musical,Romance",6.0,180
nm0579663,New Moon,1930,"Drama,Musical,Romance",6.0,180
nm0771584,The Night Ride,1930,"Crime,Drama",6.8,36
nm0001651,A Notorious Affair,1930,"Drama,Romance",5.3,291
nm0832011,The Office Wife,1930,"Drama,Romance",6.2,452
nm0002183,Old English,1930,Drama,5.7,106
nm0572142,On the Level,1930,"Action,Comedy,Crime",,
nm0001273,One Romantic Night,1930,"Comedy,Romance",5.6,442
nm0237597,One Romantic Night,1930,"Comedy,Romance",5.6,442
nm0260020,Only Saps Work,1930,"Comedy,Crime,Romance",5.7,42
nm0000011,Only the Brave,1930,"Drama,Romance,War",6.6,99
nm0001076,Our Blushing Brides,1930,"Drama,Music,Romance",6.2,797
nm0599910,Our Blushing Brides,1930,"Drama,Music,Romance",6.2,797
nm0001366,Outward Bound,1930,"Drama,Fantasy",6.5,513
nm0001076,Paid,1930,"Crime,Drama,Romance",6.3,770
nm0000795,Paramount on Parade,1930,"Comedy,Music",5.8,322
nm0002001,Paramount on Parade,1930,"Comedy,Music",5.8,322
