tconst,averageRating,numVotes
tt0023303,7.1,2546
tt0023305,7.5,3819
tt0023314,6.6,47
tt0023316,6.4,197
tt0023323,6.6,113
tt0023326,6.8,664
tt0023327,6.9,1201
tt0023334,5.9,166
tt0023342,5.9,293
tt0023349,6.2,1132
tt0023352,5.6,284
tt0023358,6.4,270
tt0023362,6.4,1637
tt0023367,5.2,22
tt0023369,6.9,2716
tt0023374,6.5,1087
tt0023378,6.6,30
tt0023382,7.3,4330
tt0023385,7.0,3163
tt0023394,6.2,1099
tt0023396,5.5,645
tt0023407,6.3,229
tt0023426,6.4,49
tt0023427,7.7,27843
tt0023447,5.8,285
tt0023449,6.4,30
tt0023455,6.1,132
tt0023456,5.5,403
tt0023458,7.3,8885
tt0023459,5.9,91
tt0023464,6.4,724
tt0023470,6.8,2355
tt0023472,6.4,369
tt0023474,6.1,32
tt0023475,5.4,50
tt0023478,5.1,186
tt0023479,6.0,318
tt0023480,6.4,146
tt0023484,6.7,57
tt0023485,5.5,109
tt0023488,6.9,1357
tt0023491,6.8,1656
tt0023492,6.4,45
tt0023495,5.6,171
tt0023523,5.6,748
tt0023525,6.4,501
tt0023527,6.8,145
tt0023529,6.0,365
tt0023535,7.4,38
tt0023537,6.9,454
tt0023545,6.2,393
tt0023556,6.6,1368
tt0023560,5.8,408
tt0023562,6.8,47
tt0023567,5.9,373
tt0023573,6.7,11
tt0023581,6.3,634
tt0023582,6.2,1414
tt0023583,5.7,791
tt0023584,6.7,735
tt0023587,6.1,120
tt0023590,7.1,3911
tt0023593,6.1,92
tt0023622,8.0,14715
tt0023623,7.0,21
tt0023627,6.2,63
tt0023629,6.9,1137
tt0023635,6.2,213
tt0023638,6.9,64
tt0023642,7.0,1005
tt0023645,6.9,389
tt0023646,6.4,142
tt0023653,6.9,94
tt0023659,6.9,834
tt0023672,6.0,167
tt0023673,6.6,165
tt0023675,6.3,54
tt0023677,5.9,287
tt0023684,5.4,301
tt0023685,6.3,508
tt0023688,5.3,80
tt0023691,6.7,120
tt0023700,6.6,86
tt0023701,6.1,520
tt0023702,6.9,45
tt0023703,5.8,96
tt0023704,6.8,65
tt0023706,5.4,228
tt0023707,6.1,31
tt0023709,5.6,49
tt0023716,6.1,435
tt0023719,6.5,235
tt0023731,6.8,2755
tt0023737,6.3,407
tt0023740,5.6,140
tt0023741,6.4,87
tt0023743,6.8,8
tt0023744,6.5,271
tt0023753,6.3,2253
tt0023759,6.2,626
tt0023761,6.5,330
tt0023764,5.6,52
tt0023775,7.5,7035
tt0023785,6.7,419
tt0023787,7.0,111
tt0023790,6.1,425
tt0023793,6.0,254
tt0023794,6.5,867
tt0023808,4.8,175
tt0023811,7.1,32
tt0023814,6.9,3925
tt0023816,6.2,261
tt0023817,6.6,668
tt0023818,6.8,372
tt0023825,7.1,2778
tt0023838,6.8,521
tt0023842,6.3,311
tt0023846,6.0,201
tt0023848,5.7,303
tt0023856,6.5,1294
tt0023860,6.6,170
tt0023872,6.5,414
tt0023873,6.1,94
tt0023876,5.9,5241
tt0023878,6.3,420
tt0023880,6.0,604
tt0023886,4.9,82
tt0023887,6.5,251
tt0023890,7.1,39
tt0023891,6.3,1465
tt0023893,6.1,311
tt0023896,6.0,169
tt0023900,5.9,207
tt0023906,7.0,90
tt0023913,7.2,30
tt0023918,6.7,114
tt0023926,6.8,2434
tt0023932,6.4,256
tt0023940,7.4,6802
tt0023941,6.8,51
tt0023945,6.1,158
tt0023946,6.2,13
tt0023948,7.5,8347
tt0023957,5.8,141
tt0023960,6.8,1172
tt0023973,7.1,1225
tt0023984,5.8,179
tt0023986,7.2,1391
tt0023992,6.7,730
tt0023993,6.4,1544
tt0023998,6.5,81
tt0024008,6.7,1693
tt0024024,5.7,145
tt0024025,6.6,3729
tt0024028,7.5,5504
tt0024034,7.3,11948
tt0024041,6.2,100
tt0024044,6.4,1325
tt0024046,6.9,122
tt0024048,6.1,235
tt0024052,6.5,16
tt0024053,6.3,46
tt0024065,6.1,82
tt0024067,6.2,1808
tt0024069,7.7,8226
tt0024071,7.0,50
tt0024073,6.9,213
tt0024075,6.4,610
tt0024078,5.8,306
tt0024079,6.2,31
tt0024083,6.9,809
tt0024090,6.7,815
tt0024092,6.3,493
tt0024093,5.9,11
tt0024095,6.5,10
tt0024097,6.1,173
tt0024100,6.6,471
tt0024104,6.4,197
tt0024109,5.9,82
tt0024115,7.4,2227
tt0024122,6.4,363
tt0024124,5.5,695
tt0024130,6.9,1573
tt0024139,6.6,281
tt0024141,5.9,109
tt0024151,6.3,602
tt0024158,6.5,32
tt0024159,5.6,49
tt0024161,6.7,199
tt0024166,6.9,3546
tt0024170,6.1,281
tt0024180,6.7,14
tt0024183,6.9,1368
tt0024184,7.6,34695
tt0024188,7.4,9473
tt0024189,5.6,76
tt0024193,6.9,135
tt0024195,5.2,75
tt0024210,6.9,3478
tt0024217,6.9,79
tt0024221,6.8,226
tt0024222,6.5,585
tt0024238,6.6,1651
tt0024239,7.0,1731
tt0024240,7.4,4207
tt0024241,6.9,44
tt0024243,5.8,46
tt0024245,5.3,104
tt0024247,7.1,64
tt0024256,5.6,50
tt0024257,6.8,503
tt0024258,6.5,452
tt0024262,7.1,1307
tt0024264,7.2,7090
tt0024269,7.0,236
tt0024271,5.8,23
tt0024275,6.5,67
tt0024276,6.3,189
tt0024286,5.7,84
tt0024288,6.2,173
tt0024293,5.3,518
tt0024299,6.1,24
tt0024301,5.6,229
tt0024302,7.2,1468
tt0024308,6.4,206
tt0024314,6.9,1662
tt0024325,6.2,340
tt0024326,6.2,21
tt0024334,7.0,1434
tt0024340,6.7,45
tt0024353,6.4,3015
tt0024359,6.2,487
tt0024364,6.5,35
tt0024372,4.7,12
tt0024373,6.3,326
tt0024381,6.2,877
tt0024386,5.4,32
tt0024387,6.0,140
tt0024388,5.9,412
tt0024394,6.2,82
tt0024396,6.6,322
tt0024411,6.7,471
tt0024412,7.2,9
tt0024414,6.4,605
tt0024418,7.3,376
tt0024419,5.7,20
tt0024424,6.2,41
tt0024426,6.4,1162
tt0024429,6.5,281
tt0024431,6.3,23
tt0024435,6.8,1086
tt0024436,5.6,698
tt0024448,6.7,176
tt0024450,7.0,1624
tt0024455,6.4,132
tt0024465,6.7,676
tt0024471,6.7,829
tt0024472,5.2,51
tt0024473,7.0,4338
tt0024476,6.1,640
tt0024481,7.5,7877
tt0024484,6.6,835
tt0024496,6.2,329
tt0024500,5.4,1080
