actorName,movieTitle,createdYear,awardStatus
Isabelle Adjani,Camille Claudel,1989,Nominee
Isabelle Adjani,The Story Of Adele H.,1975,Nominee
J. K. Simmons,Being The Ricardos,2021,Nominee
J. K. Simmons,Whiplash,2014,Nominee
Jack Lemmon,Days Of Wine And Roses,1962,Nominee
Jack Lemmon,Missing,1982,Nominee
Jack Lemmon,Mister Roberts,1955,Winner
Jack Lemmon,Save The Tiger,1973,Winner
Jack Lemmon,Some Like It Hot,1959,Nominee
Jack Lemmon,The Apartment,1960,Nominee
Jack Lemmon,The China Syndrome,1979,Nominee
Jack Lemmon,Tribute,1980,Nominee
Jack Nicholson,A Few Good Men,1992,Nominee
Jack Nicholson,About Schmidt,2002,Nominee
Jack Nicholson,As Good As It Gets,1997,Winner
Jack Nicholson,Chinatown,1974,Nominee
Jack Nicholson,Easy Rider,1969,Nominee
Jack Nicholson,Five Easy Pieces,1970,Nominee
Jack Nicholson,Ironweed,1987,Nominee
Jack Nicholson,One Flew Over The Cuckoo'S Nest,1975,Winner
Jack Nicholson,Prizzi'S Honor,1985,Nominee
Jack Nicholson,Reds,1981,Nominee
Jack Nicholson,Terms Of Endearment,1983,Winner
Jack Nicholson,The Last Detail,1973,Nominee
Jack Palance,City Slickers,1991,Winner
Jack Palance,Shane,1953,Nominee
Jack Palance,Sudden Fear,1952,Nominee
Jack Warden,Heaven Can Wait,1978,Nominee
Jack Warden,Shampoo,1975,Nominee
Jacki Weaver,Animal Kingdom,2010,Nominee
Jacki Weaver,Silver Linings Playbook,2012,Nominee
James Cagney,Angels With Dirty Faces,1938,Nominee
James Cagney,Love Me Or Leave Me,1955,Nominee
James Cagney,Yankee Doodle Dandy,1942,Winner
James Dean,East Of Eden,1955,Nominee
James Dean,Giant,1956,Nominee
James Mason,A Star Is Born,1954,Nominee
James Mason,Georgy Girl,1966,Nominee
James Mason,The Verdict,1982,Nominee
James Stewart,Anatomy Of A Murder,1959,Nominee
James Stewart,Harvey,1950,Nominee
James Stewart,It'S A Wonderful Life,1946,Nominee
James Stewart,Mr. Smith Goes To Washington,1939,Nominee
James Stewart,The Philadelphia Story,1941,Winner
James Whitmore,Battleground,1949,Nominee
James Whitmore,"Give 'Em Hell, Harry!",1975,Nominee
James Woods,Ghosts Of Mississippi,1996,Nominee
James Woods,Salvador,1986,Nominee
Jamie Foxx,Collateral,2004,Nominee
Jamie Foxx,Ray,2004,Nominee
Jane Alexander,All The President'S Men,1976,Nominee
Jane Alexander,Kramer Vs. Kramer,1979,Nominee
Jane Alexander,Testament,1983,Nominee
Jane Alexander,The Great White Hope,1970,Nominee
Jane Fonda,Coming Home,1978,Winner
Jane Fonda,Julia,1977,Nominee
Jane Fonda,Klute,1971,Winner
Jane Fonda,On Golden Pond,1981,Nominee
Jane Fonda,The China Syndrome,1979,Nominee
Jane Fonda,The Morning After,1986,Nominee
Jane Fonda,"They Shoot Horses, Don'T They?",1969,Nominee
Jane Wyman,Johnny Belinda,1948,Winner
Jane Wyman,Magnificent Obsession,1954,Nominee
Jane Wyman,The Blue Veil,1951,Nominee
Jane Wyman,The Yearling,1946,Nominee
Janet Gaynor,7Th Heaven / Street Angel / Sunrise: A Song Of Two Humans,1927,Nominee
Janet Gaynor,A Star Is Born,1937,Nominee
Janet McTeer,Albert Nobbs,2011,Nominee
Janet McTeer,Tumbleweeds,1999,Nominee
Jason Robards,All The President'S Men,1976,Winner
Jason Robards,Julia,1977,Winner
Jason Robards,Melvin And Howard,1980,Nominee
Javier Bardem,Before Night Falls,2000,Nominee
Javier Bardem,Being The Ricardos,2021,Nominee
Javier Bardem,Biutiful,2010,Nominee
Javier Bardem,No Country For Old Men,2007,Winner
Jean Simmons,Hamlet,1948,Nominee
Jean Simmons,The Happy Ending,1969,Nominee
Jeff Bridges,Crazy Heart,2009,Winner
Jeff Bridges,Hell Or High Water,2016,Nominee
Jeff Bridges,Starman,1984,Nominee
Jeff Bridges,The Contender,2000,Nominee
Jeff Bridges,The Last Picture Show,1971,Nominee
Jeff Bridges,Thunderbolt And Lightfoot,1974,Nominee
Jeff Bridges,True Grit,2010,Nominee
Jennifer Jones,Duel In The Sun,1946,Nominee
Jennifer Jones,Love Is A Many-Splendored Thing,1955,Nominee
Jennifer Jones,Love Letters,1945,Nominee
Jennifer Jones,Since You Went Away,1944,Nominee
Jennifer Jones,The Song Of Bernadette,1943,Winner
Jennifer Lawrence,American Hustle,2013,Nominee
Jennifer Lawrence,Joy,2015,Nominee
Jennifer Lawrence,Silver Linings Playbook,2012,Winner
Jennifer Lawrence,Winter'S Bone,2010,Nominee
Jeremy Renner,The Hurt Locker,2009,Nominee
Jeremy Renner,The Town,2010,Nominee
Jessica Chastain,The Eyes Of Tammy Faye,2021,Winner
Jessica Chastain,The Help,2011,Nominee
Jessica Chastain,Zero Dark Thirty,2012,Nominee
Jessica Lange,Blue Sky,1994,Winner
Jessica Lange,Country,1984,Nominee
Jessica Lange,Frances,1982,Nominee
Jessica Lange,Music Box,1989,Nominee
Jessica Lange,Sweet Dreams,1985,Nominee
Jessica Lange,Tootsie,1982,Winner
Jessica Tandy,Driving Miss Daisy,1989,Nominee
