nconst,primaryName,birthYear,deathYear,primaryName_clean
nm0751983,Margaret Rutherford,1892,1972,margaret rutherford
nm0837925,Margaret Sullavan,1909,1960,margaret sullavan
nm0943618,Margaret Wycherly,1881,1956,margaret wycherly
nm3053338,Margot Robbie,1990,,margot robbie
nm7210025,Maria Bakalova,1996,,maria bakalova
nm0653642,Maria Ouspenskaya,1876,1949,maria ouspenskaya
nm0001399,Marianne Jean-Baptiste,1967,,marianne jean baptiste
nm0056763,Marie-Christine Barrault,1944,,marie christine barrault
nm0237597,Marie Dressler,1868,1934,marie dressler
nm0000446,Mariel Hemingway,1961,,mariel hemingway
nm0211920,Marina de Tavira,1974,,marina de tavira
nm0182839,Marion Cotillard,1975,,marion cotillard
nm0667542,Marisa Pavan,1932,,marisa pavan
nm0000673,Marisa Tomei,1964,,marisa tomei
nm0002127,Mariska Hargitay,1964,,mariska hargitay
nm0537685,Marjorie Main,1890,1975,marjorie main
nm0708081,Marjorie Rambeau,1889,1970,marjorie rambeau
nm0000434,Mark Hamill,1951,,mark hamill
nm0001319,Mark Harmon,1951,,mark harmon
nm0749263,Mark Ruffalo,1967,,mark ruffalo
nm0753314,Mark Rylance,1960,,mark rylance
nm0000242,Mark Wahlberg,1971,,mark wahlberg
nm0559144,Marlee Matlin,1965,,marlee matlin
nm0000017,Marlene Dietrich,1901,1992,marlene dietrich
nm0005486,Marlo Thomas,1937,,marlo thomas
nm0000008,Marlon Brando,1924,2004,marlon brando
nm0005541,Marlon Wayans,1972,,marlon wayans
nm0556850,Marsha Mason,1942,,marsha mason
nm0405054,Martha Hyer,1924,2014,martha hyer
nm0779549,Martha Scott,1912,2003,martha scott
nm0000842,Martin Balsam,1919,1996,martin balsam
nm0293509,Martin Freeman,1971,,martin freeman
nm0001445,Martin Landau,1928,2017,martin landau
nm0001454,Martin Lawrence,1965,,martin lawrence
nm0000802,Mary Astor,1906,1987,mary astor
nm0000825,Mary Badham,1952,,mary badham
nm0004763,Mary J. Blige,1971,,mary j. blige
nm0001521,Mary McDonnell,1952,,mary mcdonnell
nm0681933,Mary Pickford,1892,1979,mary pickford
nm0005460,Mary Steenburgen,1953,,mary steenburgen
nm0001546,Mary Tyler Moore,1936,2017,mary tyler moore
nm0881829,Mary Ure,1933,1975,mary ure
nm0873385,Massimo Troisi,1953,1994,massimo troisi
nm0000354,Matt Damon,1970,,matt damon
nm0000369,Matt Dillon,1964,,matt dillon
nm0000111,Matthew Broderick,1962,,matthew broderick
nm1131557,Matthew Gray Gubler,1980,,matthew gray gubler
nm0000190,Matthew McConaughey,1969,,matthew mcconaughey
nm0001612,Matthew Perry,1969,,matthew perry
nm0822972,Maureen Stapleton,1925,2006,maureen stapleton
nm0002001,Maurice Chevalier,1888,1972,maurice chevalier
nm0001884,Max von Sydow,1929,2020,max von sydow
nm0001703,Maximilian Schell,1930,2014,maximilian schell
nm0733480,May Robson,1858,1942,may robson
nm0926599,May Whitty,1865,1948,may whitty
nm0748973,Maya Rudolph,1972,,maya rudolph
nm0000212,Meg Ryan,1961,,meg ryan
nm0000672,Meg Tilly,1960,,meg tilly
nm1504121,Megan Fox,1980,,megan fox
nm0000154,Mel Gibson,1956,,mel gibson
nm0000429,Melanie Griffith,1957,,melanie griffith
nm0580479,Melina Mercouri,1920,1994,melina mercouri
nm0227039,Melinda Dillon,1939,,melinda dillon
nm0502425,Melissa Leo,1960,,melissa leo
nm0565250,Melissa McCarthy,1970,,melissa mccarthy
nm0002048,Melvyn Douglas,1901,1981,melvyn douglas
nm0564790,Mercedes McCambridge,1916,2004,mercedes mccambridge
nm0001689,Mercedes Ruehl,1948,,mercedes ruehl
nm0643353,Merle Oberon,1911,1979,merle oberon
nm0341311,Merv Griffin,1925,2007,merv griffin
nm0000658,Meryl Streep,1949,,meryl streep
nm0430107,Michael B. Jordan,1987,,michael b. jordan
nm0000323,Michael Caine,1933,,michael caine
nm0155011,Michael Chekhov,1891,1955,michael chekhov
nm0003817,Michael Clarke Duncan,1957,2012,michael clarke duncan
nm0000140,Michael Douglas,1944,,michael douglas
nm0242692,Michael Dunn,1934,1973,michael dunn
nm1013003,Michael Ealy,1973,,michael ealy
nm1055413,Michael Fassbender,1977,,michael fassbender
nm0000150,Michael J. Fox,1961,,michael j. fox
