tconst,primaryTitle,startYear,genres
tt0021304,Road to Paradise,1930,Drama
tt0021307,The Rogue Song,1930,"Musical,Romance"
tt0021310,Romance,1930,"Drama,Romance"
tt0021322,The Royal Family of Broadway,1930,Comedy
tt0021324,The Runaway Bride,1930,"Crime,Drama,Romance"
tt0021327,Safety in Numbers,1930,"Comedy,Music,Romance"
tt0021334,The Sap from Syracuse,1930,"Comedy,Musical,Romance"
tt0021335,Sarah and Son,1930,"Drama,Romance"
tt0021342,Scotland Yard,1930,"Crime,Drama,Romance"
tt0021345,The Sea Bat,1930,"Action,Romance,Thriller"
tt0021347,Sea Legs,1930,"Comedy,Romance"
tt0021350,Second Choice,1930,"Drama,Romance"
tt0021351,The Second Floor Mystery,1930,"Comedy,Mystery"
tt0021354,See America Thirst,1930,"Action,Comedy,Crime"
tt0021355,Die Sehnsucht jeder Frau,1930,Drama
tt0021357,Seven Days Leave,1930,"Adventure,Drama,War"
tt0021359,Shadow of the Law,1930,"Crime,Drama,Mystery"
tt0021360,She Couldn't Say No,1930,"Action,Drama,Music"
tt0021361,She Got What She Wanted,1930,Comedy
tt0021369,Shooting Straight,1930,"Crime,Drama"
tt0021374,The Silver Horde,1930,"Drama,Romance"
tt0021376,The Sin Ship,1931,Drama
tt0021377,Sin Takes a Holiday,1930,"Comedy,Romance"
tt0021381,Sinners' Holiday,1930,"Adventure,Crime,Romance"
tt0021382,The Sins of the Children,1930,"Drama,Romance"
tt0021396,The Social Lion,1930,"Comedy,Romance,Sport"
tt0021400,Son of the Gods,1930,"Drama,Romance"
tt0021412,The Spoilers,1930,"Action,Western"
tt0021420,Street of Chance,1930,"Crime,Drama,Romance"
tt0021422,Strictly Unconventional,1930,Drama
tt0021432,Such Men Are Dangerous,1930,Drama
tt0021439,Sweet Kitty Bellairs,1930,"Musical,Romance"
tt0021444,The Swellhead,1930,"Drama,Romance,Sport"
tt0021458,The Temporary Widow,1930,"Comedy,Mystery"
tt0021463,The Texan,1930,Western
tt0021464,They Learned About Women,1930,"Drama,Musical"
tt0021468,This Mad World,1930,"Drama,Romance,War"
tt0021471,Those Who Dance,1930,"Action,Crime,Drama"
tt0021472,Three Faces East,1930,Drama
tt0021473,The Three Sisters,1930,
tt0021492,True to the Navy,1930,"Action,Comedy,Romance"
tt0021493,The Truth About Youth,1930,"Drama,Romance"
tt0021508,Up the River,1930,"Comedy,Crime,Drama"
tt0021522,Viennese Nights,1930,Musical
tt0021525,The Virtuous Sin,1930,"Drama,Romance,War"
tt0021531,War Nurse,1930,"Drama,Romance,War"
tt0021534,Way for a Sailor,1930,"Drama,Romance"
tt0021538,Road to Rio,1931,"Crime,Drama"
tt0021545,What a Widow!,1930,"Comedy,Romance"
tt0021557,Wise Girls,1929,"Comedy,Drama,Music"
tt0021558,Wolves,1930,"Crime,Drama"
tt0021567,Young Eagles,1930,Drama
tt0021568,Young Man of Manhattan,1930,"Comedy,Musical,Romance"
tt0021578,L'énigmatique Monsieur Parkes,1930,"Comedy,Drama"
tt0021580,24 Hours,1931,Drama
tt0021595,Alexander Hamilton,1931,"Biography,Drama,History"
tt0021604,Always Goodbye,1931,Drama
tt0021606,Ambassador Bill,1931,Comedy
tt0021607,An American Tragedy,1931,"Crime,Drama,Romance"
tt0021610,Annabelle's Affairs,1931,Romance
tt0021616,Ariane,1931,"Drama,Romance"
tt0021622,Arrowsmith,1931,Drama
tt0021632,Bachelor Apartment,1931,"Comedy,Drama,Romance"
tt0021633,The Bachelor Father,1931,"Comedy,Drama,Romance"
tt0021635,Bad Girl,1931,"Drama,Romance"
tt0021636,Bad Sister,1931,Drama
tt0021641,The Bargain,1931,Drama
tt0021649,Behind Office Doors,1931,"Drama,Romance"
tt0021651,Beloved Bachelor,1931,Drama
tt0021656,Beyond Victory,1931,"Drama,War"
tt0021657,Big Business Girl,1931,"Comedy,Romance"
tt0021659,The Big Gamble,1931,"Crime,Drama,Romance"
tt0021673,Blonde Crazy,1931,"Comedy,Crime,Drama"
tt0021680,Body and Soul,1931,Drama
tt0021717,Venetian Nights,1931,Drama
tt0021723,Caught,1931,"Romance,Western"
tt0021726,Cavalier of the West,1931,Western
tt0021730,The Champ,1931,"Drama,Family,Sport"
tt0021746,Cimarron,1931,"Drama,Western"
tt0021748,The Cisco Kid,1931,Western
tt0021750,City Streets,1931,"Crime,Drama,Film-Noir"
tt0021758,Confessions of a Co-Ed,1931,Drama
tt0021761,Consolation Marriage,1931,Drama
tt0021764,Corsair,1931,"Adventure,Crime,Romance"
tt0021768,Cracked Nuts,1931,"Comedy,Musical,Romance"
tt0021770,The Criminal Code,1930,"Crime,Drama,Romance"
tt0021772,The Cuban Love Song,1931,"Musical,Romance"
tt0021775,Daddy Long Legs,1931,"Comedy,Romance"
tt0021778,"Dance, Fools, Dance",1931,"Crime,Drama,Romance"
tt0021785,Daughter of the Dragon,1931,"Crime,Drama"
tt0021793,Delicious,1931,"Comedy,Musical,Romance"
tt0021798,Devotion,1931,"Comedy,Drama,Romance"
tt0021800,Dishonored,1931,"Drama,Romance,War"
tt0021804,Doctors' Wives,1931,Drama
tt0021807,Don't Bet on Women,1931,"Comedy,Romance"
tt0021818,The 3 Penny Opera,1931,"Comedy,Crime,Drama"
tt0021821,Dude Ranch,1931,"Comedy,Western"
tt0021825,The Easiest Way,1931,"Drama,Romance"
tt0021826,East Lynne,1931,"Drama,Romance"
tt0021828,East of Borneo,1931,"Adventure,Horror,Romance"
tt0021841,Ex-Bad Boy,1931,"Comedy,Romance"
tt0021850,Fanny Foley Herself,1931,"Comedy,Drama"
tt0021854,Father's Son,1931,Drama
tt0021861,Fighting Caravans,1931,Western
tt0021865,The Finger Points,1931,"Crime,Drama"
tt0021868,Up for Murder,1931,Drama
tt0021874,Five and Ten,1931,"Drama,Romance"
tt0021885,A Free Soul,1931,"Crime,Drama,Romance"
tt0021889,Friends and Lovers,1931,"Drama,Romance,War"
tt0021890,The Front Page,1931,"Comedy,Crime,Drama"
tt0021898,The Gang Buster,1931,Comedy
tt0021900,The Gay Diplomat,1931,Drama
tt0021901,A Woman Branded,1931,Drama
tt0021911,Girls Demand Excitement,1931,"Comedy,Romance"
tt0021917,God's Gift to Women,1931,"Comedy,Romance"
tt0021920,Goldie,1931,Comedy
tt0021923,The Gorilla,1930,"Comedy,Horror,Mystery"
tt0021927,The Great Lover,1931,"Drama,Romance"
tt0021931,The Guardsman,1931,"Comedy,Drama"
tt0021933,Guilty Hands,1931,"Crime,Drama"
tt0021947,Heaven on Earth,1931,Drama
tt0021961,Hindle Wakes,1931,Drama
tt0021963,His Woman,1931,"Drama,Romance"
tt0021966,A Holy Terror,1931,"Action,Adventure,Western"
tt0021969,Honor Among Lovers,1931,"Drama,Romance"
tt0021973,The Hot Heiress,1931,"Comedy,Musical,Romance"
tt0021978,A House Divided,1931,Drama
tt0021986,I Like Your Nerve,1931,"Comedy,Romance"
